Geo. State,Type,Status,Submitted Date,Nominator,LD Summary,Subdivision,data_pulled_at
UT,O&G Nomination (EOI),Deferred: Other,02/18/2020,"Turner Petroleum Land Services, Inc.","UT T. 10 N., R. 13 W., SALT LAKE MER, Sec. 31",Land within Old Railroad Grade,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 13",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 14","NE, E2NW, SW",2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 14",LOTS 1-2,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 15","SENW, S2",2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 15","LOTS 1-3, 5",2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 21",E2,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 22",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 23","N2, SW, N2SE, SWSE",2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 23",LOTS 1,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 24","NE, NENW, S2NW, S2",2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 27","N2, W2SW, SESW, SE",2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 28",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 33",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 17 E., SALT LAKE MER, Sec. 34",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 18 E., SALT LAKE MER, Sec. 10",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 18 E., SALT LAKE MER, Sec. 11",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 18 E., SALT LAKE MER, Sec. 12",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 18 E., SALT LAKE MER, Sec. 13",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 18 E., SALT LAKE MER, Sec. 14",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 18 E., SALT LAKE MER, Sec. 15",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 18 E., SALT LAKE MER, Sec. 17",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 18 E., SALT LAKE MER, Sec. 18",ALL,2020-09-23T23:59:09Z
UT,O&G Nomination (EOI),Deferred: Other,01/20/2020,"Prairie Hills Oil and Gas, L.L.C.","UT T. 23 S., R. 18 E., SALT LAKE MER, Sec. 19",ALL,2020-09-23T23:59:09Z
