"geo__state","type","status","submitted_date","nominator","ld_summary","subdivision","plssid","frstdivtxt","frstdivno"
"UT","O&G Nomination (EOI)","Duplicate",2020-02-28,"Six For Six Land Services, Inc.","UT T0240S-R0010W SALT LAKE MER Section: 033","N2","UT260240S0010W0","Section",33
"UT","O&G Nomination (EOI)","Duplicate",2020-02-28,"Six For Six Land Services, Inc.","UT T0240S-R0020W SALT LAKE MER Section: 001","1-4","UT260240S0020W0","Section",1
"UT","O&G Nomination (EOI)","Duplicate",2020-02-28,"Six For Six Land Services, Inc.","UT T0250S-R0010W SALT LAKE MER Section: 001","ALL SUBDIVISIONS","UT260250S0010W0","Section",1
"UT","O&G Nomination (EOI)","Duplicate",2020-01-22,"Prairie Hills Oil and Gas L.L.C.","UT T0260S-R0180E SALT LAKE MER Section: 033","S2 EXCLUDING CANYONLANDS NATIONAL PARK","UT260260S0180E0","Section",33
"UT","O&G Nomination (EOI)","Duplicate",2020-01-22,"Prairie Hills Oil and Gas L.L.C.","UT T0260S-R0180E SALT LAKE MER Section: 033","S2SWNW, S2SENW, S2SWNE, S2SENE","UT260260S0180E0","Section",33
"UT","O&G Nomination (EOI)","Duplicate",2020-01-22,"Prairie Hills Oil and Gas L.L.C.","UT T0260S-R0180E SALT LAKE MER Section: 035","S2 EXCLUDING NATIONAL PARK","UT260260S0180E0","Section",35
"UT","O&G Nomination (EOI)","Duplicate",2020-03-02,"Nominator","UT T0260S-R0230E SALT LAKE MER Section: 019","S2","UT260260S0230E0","Section",19
"UT","O&G Nomination (EOI)","Duplicate",2020-03-02,"Nominator","UT T0260S-R0230E SALT LAKE MER Section: 021","SE","UT260260S0230E0","Section",21
"UT","O&G Nomination (EOI)","Duplicate",2020-01-22,"Prairie Hills Oil and Gas, L.L.C.","UT T0270S-R0200E SALT LAKE MER Section: 004","NWSW","UT260270S0200E0","Section",4
"UT","O&G Nomination (EOI)","Leased",2020-01-20,"Prairie Hills Oil and Gas, L.L.C.","UT T0230S-R0170E SALT LAKE MER Section: 021","W2","UT260230S0170E0","Section",21
